TRACE; NB_EVENTS; QUERY_TYPE; NB_THREAD; NB_EVENT_PER_THREAD; TS_START; TS_END; Filtered ET; filtered EP; MICROMODEL_TIME
VIRTUAL_TRACE_0;1000000;States Hybrid;4;20000;0;53032;10;1111;1345
VIRTUAL_TRACE_0;1000000;States Hybrid;4;50000;0;53032;10;1111;1332
VIRTUAL_TRACE_0;1000000;States Hybrid;4;100000;0;53032;10;1111;1371
VIRTUAL_TRACE_0;1000000;States Hybrid;8;100;0;53032;10;1111;1691
VIRTUAL_TRACE_0;1000000;States Hybrid;8;1000;0;53032;10;1111;1395
VIRTUAL_TRACE_0;1000000;States Hybrid;8;5000;0;53032;10;1111;1411
VIRTUAL_TRACE_0;1000000;States Hybrid;8;10000;0;53032;10;1111;1327
VIRTUAL_TRACE_0;1000000;States Hybrid;8;15000;0;53032;10;1111;1319
VIRTUAL_TRACE_0;1000000;States Hybrid;8;20000;0;53032;10;1111;1297
VIRTUAL_TRACE_0;1000000;States Hybrid;8;50000;0;53032;10;1111;1298
VIRTUAL_TRACE_0;1000000;States Hybrid;8;100000;0;53032;10;1111;1269
VIRTUAL_TRACE_0;1000000;States Hybrid;16;100;0;53032;10;1111;1712
VIRTUAL_TRACE_0;1000000;States Hybrid;16;1000;0;53032;10;1111;1429
VIRTUAL_TRACE_0;1000000;States Hybrid;16;5000;0;53032;10;1111;1338
VIRTUAL_TRACE_0;1000000;States Hybrid;16;10000;0;53032;10;1111;1246
VIRTUAL_TRACE_0;1000000;States Hybrid;16;15000;0;53032;10;1111;1298
VIRTUAL_TRACE_0;1000000;States Hybrid;16;20000;0;53032;10;1111;1249
VIRTUAL_TRACE_0;1000000;States Hybrid;16;50000;0;53032;10;1111;1324
VIRTUAL_TRACE_0;1000000;States Hybrid;16;100000;0;53032;10;1111;1265
VIRTUAL_TRACE_1;10000000;States;2;100;0;513170;10;1111;12615
VIRTUAL_TRACE_1;10000000;States;2;1000;0;513170;10;1111;11073
VIRTUAL_TRACE_1;10000000;States;2;5000;0;513170;10;1111;10796
VIRTUAL_TRACE_1;10000000;States;2;10000;0;513170;10;1111;10636
VIRTUAL_TRACE_1;10000000;States;2;15000;0;513170;10;1111;10635
VIRTUAL_TRACE_1;10000000;States;2;20000;0;513170;10;1111;10605
VIRTUAL_TRACE_1;10000000;States;2;50000;0;513170;10;1111;10755
VIRTUAL_TRACE_1;10000000;States;2;100000;0;513170;10;1111;10552
VIRTUAL_TRACE_1;10000000;States;4;100;0;513170;10;1111;13099
VIRTUAL_TRACE_1;10000000;States;4;1000;0;513170;10;1111;10937
VIRTUAL_TRACE_1;10000000;States;4;5000;0;513170;10;1111;10587
VIRTUAL_TRACE_1;10000000;States;4;10000;0;513170;10;1111;10675
VIRTUAL_TRACE_1;10000000;States;4;15000;0;513170;10;1111;10557
VIRTUAL_TRACE_1;10000000;States;4;20000;0;513170;10;1111;10575
VIRTUAL_TRACE_1;10000000;States;4;50000;0;513170;10;1111;10495
VIRTUAL_TRACE_1;10000000;States;4;100000;0;513170;10;1111;10413
VIRTUAL_TRACE_1;10000000;States;8;100;0;513170;10;1111;13288
VIRTUAL_TRACE_1;10000000;States;8;1000;0;513170;10;1111;10804
VIRTUAL_TRACE_1;10000000;States;8;5000;0;513170;10;1111;10503
VIRTUAL_TRACE_1;10000000;States;8;10000;0;513170;10;1111;10464
VIRTUAL_TRACE_1;10000000;States;8;15000;0;513170;10;1111;10606
VIRTUAL_TRACE_1;10000000;States;8;20000;0;513170;10;1111;10398
VIRTUAL_TRACE_1;10000000;States;8;50000;0;513170;10;1111;10466
VIRTUAL_TRACE_1;10000000;States;8;100000;0;513170;10;1111;10463
VIRTUAL_TRACE_1;10000000;States;16;100;0;513170;10;1111;13540
VIRTUAL_TRACE_1;10000000;States;16;1000;0;513170;10;1111;10921
VIRTUAL_TRACE_1;10000000;States;16;5000;0;513170;10;1111;10528
VIRTUAL_TRACE_1;10000000;States;16;10000;0;513170;10;1111;10518
VIRTUAL_TRACE_1;10000000;States;16;15000;0;513170;10;1111;10449
VIRTUAL_TRACE_1;10000000;States;16;20000;0;513170;10;1111;10462
VIRTUAL_TRACE_1;10000000;States;16;50000;0;513170;10;1111;10428
VIRTUAL_TRACE_1;10000000;States;16;100000;0;513170;10;1111;11101
VIRTUAL_TRACE_1;10000000;States Query;2;100;0;513170;10;1111;12141
VIRTUAL_TRACE_1;10000000;States Query;2;1000;0;513170;10;1111;10694
VIRTUAL_TRACE_1;10000000;States Query;2;5000;0;513170;10;1111;10342
VIRTUAL_TRACE_1;10000000;States Query;2;10000;0;513170;10;1111;10452
VIRTUAL_TRACE_1;10000000;States Query;2;15000;0;513170;10;1111;10406
VIRTUAL_TRACE_1;10000000;States Query;2;20000;0;513170;10;1111;10365
VIRTUAL_TRACE_1;10000000;States Query;2;50000;0;513170;10;1111;10429
VIRTUAL_TRACE_1;10000000;States Query;2;100000;0;513170;10;1111;10296
VIRTUAL_TRACE_1;10000000;States Query;4;100;0;513170;10;1111;12691
VIRTUAL_TRACE_1;10000000;States Query;4;1000;0;513170;10;1111;11052
VIRTUAL_TRACE_1;10000000;States Query;4;5000;0;513170;10;1111;10514
VIRTUAL_TRACE_1;10000000;States Query;4;10000;0;513170;10;1111;10356
VIRTUAL_TRACE_1;10000000;States Query;4;15000;0;513170;10;1111;10344
VIRTUAL_TRACE_1;10000000;States Query;4;20000;0;513170;10;1111;10390
VIRTUAL_TRACE_1;10000000;States Query;4;50000;0;513170;10;1111;10270
VIRTUAL_TRACE_1;10000000;States Query;4;100000;0;513170;10;1111;10248
VIRTUAL_TRACE_1;10000000;States Query;8;100;0;513170;10;1111;12974
VIRTUAL_TRACE_1;10000000;States Query;8;1000;0;513170;10;1111;10584
VIRTUAL_TRACE_1;10000000;States Query;8;5000;0;513170;10;1111;10377
VIRTUAL_TRACE_1;10000000;States Query;8;10000;0;513170;10;1111;10289
VIRTUAL_TRACE_1;10000000;States Query;8;15000;0;513170;10;1111;10153
VIRTUAL_TRACE_1;10000000;States Query;8;20000;0;513170;10;1111;10176
VIRTUAL_TRACE_1;10000000;States Query;8;50000;0;513170;10;1111;10276
VIRTUAL_TRACE_1;10000000;States Query;8;100000;0;513170;10;1111;10394
VIRTUAL_TRACE_1;10000000;States Query;16;100;0;513170;10;1111;13368
VIRTUAL_TRACE_1;10000000;States Query;16;1000;0;513170;10;1111;10626
VIRTUAL_TRACE_1;10000000;States Query;16;5000;0;513170;10;1111;10395
VIRTUAL_TRACE_1;10000000;States Query;16;10000;0;513170;10;1111;10207
VIRTUAL_TRACE_1;10000000;States Query;16;15000;0;513170;10;1111;10176
VIRTUAL_TRACE_1;10000000;States Query;16;20000;0;513170;10;1111;10124
VIRTUAL_TRACE_1;10000000;States Query;16;50000;0;513170;10;1111;10200
VIRTUAL_TRACE_1;10000000;States Query;16;100000;0;513170;10;1111;10374
VIRTUAL_TRACE_1;10000000;States Hybrid;2;100;0;513170;10;1111;12100
VIRTUAL_TRACE_1;10000000;States Hybrid;2;1000;0;513170;10;1111;10745
VIRTUAL_TRACE_1;10000000;States Hybrid;2;5000;0;513170;10;1111;10636
VIRTUAL_TRACE_1;10000000;States Hybrid;2;10000;0;513170;10;1111;10492
VIRTUAL_TRACE_1;10000000;States Hybrid;2;15000;0;513170;10;1111;10363
VIRTUAL_TRACE_1;10000000;States Hybrid;2;20000;0;513170;10;1111;10484
VIRTUAL_TRACE_1;10000000;States Hybrid;2;50000;0;513170;10;1111;10520
VIRTUAL_TRACE_1;10000000;States Hybrid;2;100000;0;513170;10;1111;10531
VIRTUAL_TRACE_1;10000000;States Hybrid;4;100;0;513170;10;1111;12392
VIRTUAL_TRACE_1;10000000;States Hybrid;4;1000;0;513170;10;1111;10687
VIRTUAL_TRACE_1;10000000;States Hybrid;4;5000;0;513170;10;1111;10418
VIRTUAL_TRACE_1;10000000;States Hybrid;4;10000;0;513170;10;1111;10380
VIRTUAL_TRACE_1;10000000;States Hybrid;4;15000;0;513170;10;1111;10318
VIRTUAL_TRACE_1;10000000;States Hybrid;4;20000;0;513170;10;1111;10322
VIRTUAL_TRACE_1;10000000;States Hybrid;4;50000;0;513170;10;1111;10311
VIRTUAL_TRACE_1;10000000;States Hybrid;4;100000;0;513170;10;1111;10313
VIRTUAL_TRACE_1;10000000;States Hybrid;8;100;0;513170;10;1111;12894
VIRTUAL_TRACE_1;10000000;States Hybrid;8;1000;0;513170;10;1111;10592
VIRTUAL_TRACE_1;10000000;States Hybrid;8;5000;0;513170;10;1111;10299
VIRTUAL_TRACE_1;10000000;States Hybrid;8;10000;0;513170;10;1111;10267
VIRTUAL_TRACE_1;10000000;States Hybrid;8;15000;0;513170;10;1111;10363
VIRTUAL_TRACE_1;10000000;States Hybrid;8;20000;0;513170;10;1111;10347
VIRTUAL_TRACE_1;10000000;States Hybrid;8;50000;0;513170;10;1111;10131
VIRTUAL_TRACE_1;10000000;States Hybrid;8;100000;0;513170;10;1111;10268
VIRTUAL_TRACE_1;10000000;States Hybrid;16;100;0;513170;10;1111;13410
VIRTUAL_TRACE_1;10000000;States Hybrid;16;1000;0;513170;10;1111;10601
VIRTUAL_TRACE_1;10000000;States Hybrid;16;5000;0;513170;10;1111;10336
VIRTUAL_TRACE_1;10000000;States Hybrid;16;10000;0;513170;10;1111;10175
VIRTUAL_TRACE_1;10000000;States Hybrid;16;15000;0;513170;10;1111;10215
VIRTUAL_TRACE_1;10000000;States Hybrid;16;20000;0;513170;10;1111;10138
VIRTUAL_TRACE_1;10000000;States Hybrid;16;50000;0;513170;10;1111;10237
VIRTUAL_TRACE_1;10000000;States Hybrid;16;100000;0;513170;10;1111;10333
VIRTUAL_TRACE_2;100000000;States;2;100;0;5078871;10;1111;121585
VIRTUAL_TRACE_2;100000000;States;2;1000;0;5078871;10;1111;106706
VIRTUAL_TRACE_2;100000000;States;2;5000;0;5078871;10;1111;105313
VIRTUAL_TRACE_2;100000000;States;2;10000;0;5078871;10;1111;103055
VIRTUAL_TRACE_2;100000000;States;2;15000;0;5078871;10;1111;104310
VIRTUAL_TRACE_2;100000000;States;2;20000;0;5078871;10;1111;101248
VIRTUAL_TRACE_2;100000000;States;2;50000;0;5078871;10;1111;103331
VIRTUAL_TRACE_2;100000000;States;2;100000;0;5078871;10;1111;104128
VIRTUAL_TRACE_2;100000000;States;4;100;0;5078871;10;1111;126566
VIRTUAL_TRACE_2;100000000;States;4;1000;0;5078871;10;1111;106398
VIRTUAL_TRACE_2;100000000;States;4;5000;0;5078871;10;1111;102482
VIRTUAL_TRACE_2;100000000;States;4;10000;0;5078871;10;1111;104277
VIRTUAL_TRACE_2;100000000;States;4;15000;0;5078871;10;1111;102291
VIRTUAL_TRACE_2;100000000;States;4;20000;0;5078871;10;1111;100852
VIRTUAL_TRACE_2;100000000;States;4;50000;0;5078871;10;1111;101495
VIRTUAL_TRACE_2;100000000;States;4;100000;0;5078871;10;1111;100710
VIRTUAL_TRACE_2;100000000;States;8;100;0;5078871;10;1111;129184
VIRTUAL_TRACE_2;100000000;States;8;1000;0;5078871;10;1111;104608
VIRTUAL_TRACE_2;100000000;States;8;5000;0;5078871;10;1111;102242
VIRTUAL_TRACE_2;100000000;States;8;10000;0;5078871;10;1111;101240
VIRTUAL_TRACE_2;100000000;States;8;15000;0;5078871;10;1111;100705
VIRTUAL_TRACE_2;100000000;States;8;20000;0;5078871;10;1111;100889
VIRTUAL_TRACE_2;100000000;States;8;50000;0;5078871;10;1111;101508
VIRTUAL_TRACE_2;100000000;States;8;100000;0;5078871;10;1111;101079
VIRTUAL_TRACE_2;100000000;States;16;100;0;5078871;10;1111;131207
VIRTUAL_TRACE_2;100000000;States;16;1000;0;5078871;10;1111;104873
VIRTUAL_TRACE_2;100000000;States;16;5000;0;5078871;10;1111;101439
VIRTUAL_TRACE_2;100000000;States;16;10000;0;5078871;10;1111;100719
VIRTUAL_TRACE_2;100000000;States;16;15000;0;5078871;10;1111;101104
VIRTUAL_TRACE_2;100000000;States;16;20000;0;5078871;10;1111;100845
VIRTUAL_TRACE_2;100000000;States;16;50000;0;5078871;10;1111;101029
VIRTUAL_TRACE_2;100000000;States;16;100000;0;5078871;10;1111;101097
VIRTUAL_TRACE_2;100000000;States Query;2;100;0;5078871;10;1111;119255
VIRTUAL_TRACE_2;100000000;States Query;2;1000;0;5078871;10;1111;104461
VIRTUAL_TRACE_2;100000000;States Query;2;5000;0;5078871;10;1111;101267
VIRTUAL_TRACE_2;100000000;States Query;2;10000;0;5078871;10;1111;102136
VIRTUAL_TRACE_2;100000000;States Query;2;15000;0;5078871;10;1111;100585
VIRTUAL_TRACE_2;100000000;States Query;2;20000;0;5078871;10;1111;99738
VIRTUAL_TRACE_2;100000000;States Query;2;50000;0;5078871;10;1111;101243
VIRTUAL_TRACE_2;100000000;States Query;2;100000;0;5078871;10;1111;101798
VIRTUAL_TRACE_2;100000000;States Query;4;100;0;5078871;10;1111;124830
VIRTUAL_TRACE_2;100000000;States Query;4;1000;0;5078871;10;1111;103230
VIRTUAL_TRACE_2;100000000;States Query;4;5000;0;5078871;10;1111;101247
VIRTUAL_TRACE_2;100000000;States Query;4;10000;0;5078871;10;1111;103258
VIRTUAL_TRACE_2;100000000;States Query;4;15000;0;5078871;10;1111;100919
VIRTUAL_TRACE_2;100000000;States Query;4;20000;0;5078871;10;1111;102021
VIRTUAL_TRACE_2;100000000;States Query;4;50000;0;5078871;10;1111;100131
